Colour,Function,Used as,Used in,Concept
#0b0c0c,focus-text,color,.govuk-service-navigation__service-name .govuk-service-navigation__link:focus,service-navigation__service-name
#1a65a6,link,color,.govuk-service-navigation__toggle,service-navigation__toggle
#0b0c0c,focus-text,color,.govuk-service-navigation__toggle:focus,service-navigation__toggle
#fd0,focus,background-color,.govuk-service-navigation__toggle:focus,service-navigation__toggle
#fd0,focus,box-shadow,.govuk-service-navigation__toggle:focus,service-navigation__toggle
#0b0c0c,focus-text,box-shadow,.govuk-service-navigation__toggle:focus,service-navigation__toggle
#fff,,color,.govuk-service-navigation--inverse,service-navigation--inverse
#1d70b8,brand,background-color,.govuk-service-navigation--inverse,service-navigation--inverse
#8eb8dc,surface-border,border-color,.govuk-service-navigation--inverse .govuk-width-container,service-navigation--inverse
#fff,,border-color,".govuk-service-navigation--inverse .govuk-service-navigation__item,
.govuk-service-navigation--inverse .govuk-service-navigation__service-name",service-navigation--inverse
#fff,,color,".govuk-service-navigation--inverse .govuk-service-navigation__link:link,
.govuk-service-navigation--inverse .govuk-service-navigation__link:visited",service-navigation--inverse
#0b0c0c,focus-text,color,.govuk-service-navigation--inverse .govuk-service-navigation__link:focus,service-navigation--inverse
